title,year,network,duration_in_minutes,director,screenwriter,episodes,ratings,totnum_ratings,totnum_watchers,totnum_reviews,genres,tags,url
eccentric! chef moon,2020,Channel A,65,"Choi Do Hoon,Jung Hun Soo","Jung Yoo Ri,Kim Kyung Soo",16,7.6,969,2655,4,"Food,Comedy,Romance,Drama,Melodrama","Amnesia,Cooking,Fashion Designer,Chef,Countryside,Successful Female Lead,Eccentric Female Lead,Cohabitation,Healing,Attempted Murder",https://mydramalist.com/47779-vacation-in-my-own-way
extracurricular,2020,Netflix,60,Kim Jin Min,Jin Han Sae,10,8.5,14570,29492,112,"Psychological,Crime,Life,School,Youth,Drama","Prostitution,Morally Ambiguous Lead,Illegal Business,Dark Plot,Student,High School,Teenager,Greed,Smart Male Lead,Security Service Provider",https://mydramalist.com/34221-human-lessons
fatal promise,2020,KBS2,36,Kim Shin Il,Ma Joo Hee,104,7,142,743,2,"Romance,Drama,Family,Melodrama","Betrayal,Strong Female Lead,Revenge,Nice Male Lead,Conglomerate,Cardiothoracic Surgeon,Promise,Orphan Lead,Supportive Parent,Fiancée",https://mydramalist.com/55677-dangerous-promise
find me in your memory,2020,MBC,35,Oh Hyun Jong,Kim Yoon Joo,32,8.2,6436,16461,53,"Romance,Drama,Melodrama","Hyperthymesia,Memories,Actress,News Anchor,Female Chases Male First,Emotional Scars,Healing,Nice Female Lead,Idol Actor,Trauma",https://mydramalist.com/50941-the-man-s-memory
flower of evil,2020,tvN,70,"Kim Chul Gyu,Yoon Jong Ho",Yoo Jung Hee,16,9.1,17496,38524,200,"Thriller,Mystery,Psychological,Romance,Crime,Melodrama","Married Couple,Deception,Suspense,Family Secret,Hidden Personality,Smart Female Lead,Antisocial Personality Disorder,Detective,Serial Killer,Investigation",https://mydramalist.com/54625-flower-of-evil
forest,2020,KBS2,31,Oh Jong Rok,Lee Sun Young,32,7.8,3617,10824,26,"Business,Psychological,Romance,Drama,Medical","Trauma,Tragic Past,Rich Male Lead,Cohabitation,Steamy Kiss,Doctor,Dissociative Amnesia,Amnesia,Strong Male Lead,Love/Hate Relationship",https://mydramalist.com/33186-secret
the game: towards zero,2020,MBC,30,Jang Joon Ho,Lee Ji Hyo,32,7.7,2493,8154,17,"Suspense,Thriller,Mystery,Psychological,Romance,Crime,Drama,Fantasy,Melodrama,Investigation","Special Power,Serial Killer,Psychic,Detective,Policewoman,Supernatural Power,Smart Male Lead,Tragic Past,Death,Strong Female Lead",https://mydramalist.com/38723-the-game-towards-midnight
good casting,2020,SBS,65,Choi Young Hoon,Park Ji Ha,16,7.8,1943,5507,18,"Action,Mystery,Business,Comedy,Drama","Espionage,Undercover Agent,Strong Female Lead,Strong Female Characters,Spy,Female Centered Plot,First Love,National Intelligence Service,Older Woman/Younger Man,Sismance",https://mydramalist.com/36491-miss-casting
the good detective,2020,jTBC,70,Jo Nam Gook,Choi Jin Won,16,8.3,2408,6559,21,"Action,Thriller,Mystery,Drama,Detective","Detective,Wrongfully Accused,Reporter,Corruption,Police Officer,Smart Male Lead,Bromance,Investigation,Corrupt Legal System,Murder",https://mydramalist.com/51853-silence
graceful friends,2020,jTBC,70,Song Hyun Wook,"Kim Kyung Sun,Park Hyo Yeon",17,7.5,775,2804,11,"Mystery,Crime,Drama","Bromance,Multiple Couples,Murder,Jealousy,Multiple Mains,Housewife,Psychiatrist,Married Couple,Slice Of Life,Infidelity",https://mydramalist.com/35735-elegant-friends
hellbound,,Netflix,,Yeon Sang Ho,Yeon Sang Ho,6,,0,2189,0,"Suspense,Mystery,Horror,Drama,Supernatural","Adapted From A Webtoon,Broadcasting Station PD,Choi Kyu Suk,Yun Sang Ho,Occult,Brainwashing,Priest,Smart Female Lead,Dark Plot,Religion",https://mydramalist.com/57415-hell
here,,tvN,,Kim Kyu Tae,Noh Hee Kyung,0,,0,2387,0,Drama,NGOs,https://mydramalist.com/48949-here
"hi bye, mama!",2020,tvN,70,Yoo Je Won,Kwon Hye Joo,16,8.5,8619,18703,71,"Comedy,Romance,Drama,Family,Medical,Fantasy,Melodrama,Supernatural,Tragedy","Married Couple,Mother-Daughter Relationship,Child,Reincarnation,Sismance,Death,Ghost,Heartbreak,Father-Daughter Relationship,Nice Female Lead",https://mydramalist.com/49809-hello-mom
homemade love story,2020,KBS2,35,Hong Seok Goo,Yoon Kyung Ah,100,7.6,438,1717,4,"Comedy,Romance,Drama,Family","Family Relationship,Multiple Mains,Interior Decorator,Adopted Child,Sibling,Family Conflict,Dream,Multiple Couples,Architect,Brother-Sister Relationship",https://mydramalist.com/58203-samgwang-villa-lovers
hospital playlist,2020,tvN,90,Shin Won Ho,Lee Woo Jung,12,9.1,17483,38342,143,"Friendship,Comedy,Romance,Life,Drama,Medical","Strong Friendship,Doctor,Multiple Mains,Best Friends,Hospital,Slight Romance,Strong Female Lead,Heartfelt,Bromance,Nice Female Lead",https://mydramalist.com/36269-doctor-playbook
how to buy a friend,2020,KBS2,35,Yoo Young Eun,,8,7.9,1749,5404,9,"Friendship,Mystery,Comedy,Romance,School,Youth,Drama","School Bullying,High School,Bromance,Suicide,Strong Friendship,Best Friends,Bodyguard,Poetry,Dramatic Events,Caring Parents",https://mydramalist.com/55013-friend-contract
hush,2020,jTBC,70,Choi Kyu Shik,Kim Jung Min,16,7.6,457,2099,7,"Business,Comedy,Life,Drama","Journalist,Girls' Generation (SNSD),Reporter,Journalism,Corruption,Newspaper Company,Injustice,Flashback To Past,Workplace,Media Industry",https://mydramalist.com/57239-hush
hyena,2020,SBS,60,Jang Tae Yoo,Kim Roo Ri,16,8.3,3762,10114,39,"Comedy,Law,Romance,Drama","Strong Female Characters,Law Firm,Badass Female Lead,Sismance,Investigation,Love/Hate Relationship,Lawyer,Deception,Strong Female Lead,Corruption",https://mydramalist.com/36297-hyena
kingdom: season 2,2020,Netflix,45,"Kim Sung Hoon,Park In Je",Kim Eun Hee,6,8.9,11343,18564,29,"Thriller,Historical,Horror,Drama,Zombies","Outbreak,Strong Female Lead,Corruption,Strong Male Lead,Smart Female Lead,Gore,Greed,Power Struggle,Prince Lead,Pre-produced",https://mydramalist.com/32220-kingdom-2
itaewon class,2020,jTBC,70,Kim Seong Yoon,Kwang Jin,16,8.5,30652,56967,216,"Food,Friendship,Business,Romance,Life,Drama","Revenge,Smart Female Lead,Female Chases Male First,Badass Female Lead,Smart Male Lead,Tragic Past,Strong Female Lead,Restaurant,Adapted From A Webtoon,Boss/Employee Relationship",https://mydramalist.com/33898-itaewon-class
